"Perioden";"Regio's";"Bevolking aan het begin van de periode (aantal)"
"2014";"Maasland";""
"2015";"Maasland";""
"2016";"Maasland";""
"2017";"Maasland";""
"2018";"Maasland";""
"2019";"Maasland";""
"2020";"Maasland";""
"2021";"Maasland";""
"2022";"Maasland";""
"2023";"Maasland";""
"2011";"Maassluis";"   31910"
"2012";"Maassluis";"   31849"
"2013";"Maassluis";"   31985"
"2014";"Maassluis";"   32080"
"2015";"Maassluis";"   32201"
"2016";"Maassluis";"   32292"
"2017";"Maassluis";"   32450"
"2018";"Maassluis";"   32518"
"2019";"Maassluis";"   32768"
"2020";"Maassluis";"   33213"
"2021";"Maassluis";"   33567"
"2022";"Maassluis";"   34148"
"2023";"Maassluis";"   35303"
"2011";"Maastricht";"  119664"
"2012";"Maastricht";"  121050"
"2013";"Maastricht";"  121819"
"2014";"Maastricht";"  122488"
"2015";"Maastricht";"  122397"
"2016";"Maastricht";"  122533"
"2017";"Maastricht";"  122753"
"2018";"Maastricht";"  122723"
"2019";"Maastricht";"  121565"
"2020";"Maastricht";"  121575"
"2021";"Maastricht";"  120227"
"2022";"Maastricht";"  121151"
"2023";"Maastricht";"  122734"
"2011";"Margraten";""
"2012";"Margraten";""
"2013";"Margraten";""
"2014";"Margraten";""
"2015";"Margraten";""
"2016";"Margraten";""
"2017";"Margraten";""
"2018";"Margraten";""
"2019";"Margraten";""
"2020";"Margraten";""
"2021";"Margraten";""
"2022";"Margraten";""
"2023";"Margraten";""
"2011";"De Marne";"   10501"
"2012";"De Marne";"   10428"
"2013";"De Marne";"   10336"
"2014";"De Marne";"   10209"
"2015";"De Marne";"   10157"
"2016";"De Marne";"   10101"
"2017";"De Marne";"   10088"
"2018";"De Marne";"   10058"
"2019";"De Marne";""
"2020";"De Marne";""
"2021";"De Marne";""
"2022";"De Marne";""
"2023";"De Marne";""
"2011";"Marum";"   10471"
"2012";"Marum";"   10413"
"2013";"Marum";"   10382"
"2014";"Marum";"   10378"
"2015";"Marum";"   10311"
"2016";"Marum";"   10305"
"2017";"Marum";"   10388"
"2018";"Marum";"   10488"
"2019";"Marum";""
"2020";"Marum";""
"2021";"Marum";""
"2022";"Marum";""
"2023";"Marum";""
"2011";"Medemblik";"   42891"
"2012";"Medemblik";"   43117"
"2013";"Medemblik";"   43248"
"2014";"Medemblik";"   43320"
"2015";"Medemblik";"   43604"
"2016";"Medemblik";"   43725"
"2017";"Medemblik";"   44058"
"2018";"Medemblik";"   44480"
"2019";"Medemblik";"   44809"
"2020";"Medemblik";"   45101"
"2021";"Medemblik";"   45165"
"2022";"Medemblik";"   45464"
"2023";"Medemblik";"   46031"
"2011";"Meerlo-Wanssum";""
"2012";"Meerlo-Wanssum";""
"2013";"Meerlo-Wanssum";""
"2014";"Meerlo-Wanssum";""
"2015";"Meerlo-Wanssum";""
"2016";"Meerlo-Wanssum";""
"2017";"Meerlo-Wanssum";""
"2018";"Meerlo-Wanssum";""
"2019";"Meerlo-Wanssum";""
"2020";"Meerlo-Wanssum";""
"2021";"Meerlo-Wanssum";""
"2022";"Meerlo-Wanssum";""
"2023";"Meerlo-Wanssum";""
"2011";"Meerssen";"   19495"
"2012";"Meerssen";"   19430"
"2013";"Meerssen";"   19362"
"2014";"Meerssen";"   19254"
"2015";"Meerssen";"   19063"
"2016";"Meerssen";"   19040"
"2017";"Meerssen";"   19072"
"2018";"Meerssen";"   19039"
"2019";"Meerssen";"   18923"
"2020";"Meerssen";"   18828"
"2021";"Meerssen";"   18661"
"2022";"Meerssen";"   18581"
"2023";"Meerssen";"   18600"
"2011";"Meierijstad";""
"2012";"Meierijstad";""
"2013";"Meierijstad";""
"2014";"Meierijstad";""
"2015";"Meierijstad";""
"2016";"Meierijstad";""
"2017";"Meierijstad";"   79869"
"2018";"Meierijstad";"   80148"
"2019";"Meierijstad";"   80815"
"2020";"Meierijstad";"   81194"
"2021";"Meierijstad";"   81647"
"2022";"Meierijstad";"   82613"
"2023";"Meierijstad";"   83715"
"2011";"Meijel";""
"2012";"Meijel";""
"2013";"Meijel";""
"2014";"Meijel";""
"2015";"Meijel";""
"2016";"Meijel";""
"2017";"Meijel";""
"2018";"Meijel";""
"2019";"Meijel";""
"2020";"Meijel";""
"2021";"Meijel";""
"2022";"Meijel";""
"2023";"Meijel";""
"2011";"Menaldumadeel";""
"2012";"Menaldumadeel";""
"2013";"Menaldumadeel";""
"2014";"Menaldumadeel";""
"2015";"Menaldumadeel";""
"2016";"Menaldumadeel";""
"2017";"Menaldumadeel";""
"2018";"Menaldumadeel";""
"2019";"Menaldumadeel";""
"2020";"Menaldumadeel";""
"2021";"Menaldumadeel";""
"2022";"Menaldumadeel";""
"2023";"Menaldumadeel";""
"2011";"Menameradiel";"   13774"
"2012";"Menameradiel";"   13773"
"2013";"Menameradiel";"   13727"
"2014";"Menameradiel";"   13673"
"2015";"Menameradiel";"   13612"
"2016";"Menameradiel";"   13543"
"2017";"Menameradiel";"   13454"
"2018";"Menameradiel";""
"2019";"Menameradiel";""
"2020";"Menameradiel";""
"2021";"Menameradiel";""
"2022";"Menameradiel";""
"2023";"Menameradiel";""
"2011";"Menterwolde";"   12385"
"2012";"Menterwolde";"   12358"
"2013";"Menterwolde";"   12370"
"2014";"Menterwolde";"   12258"
"2015";"Menterwolde";"   12197"
"2016";"Menterwolde";"   12233"
"2017";"Menterwolde";"   12162"
"2018";"Menterwolde";""
"2019";"Menterwolde";""
"2020";"Menterwolde";""
"2021";"Menterwolde";""
"2022";"Menterwolde";""
"2023";"Menterwolde";""
"2011";"Meppel";"   32511"
"2012";"Meppel";"   32573"
"2013";"Meppel";"   32726"
"2014";"Meppel";"   32867"
"2015";"Meppel";"   32799"
"2016";"Meppel";"   32794"
"2017";"Meppel";"   33025"
"2018";"Meppel";"   33410"
"2019";"Meppel";"   33564"
"2020";"Meppel";"   33920"
"2021";"Meppel";"   34386"
"2022";"Meppel";"   34761"
"2023";"Meppel";"   35464"
"2011";"Middelburg (Z.)";"   48030"
"2012";"Middelburg (Z.)";"   47768"
"2013";"Middelburg (Z.)";"   47523"
"2014";"Middelburg (Z.)";"   47642"
"2015";"Middelburg (Z.)";"   47613"
"2016";"Middelburg (Z.)";"   47873"
"2017";"Middelburg (Z.)";"   48019"
"2018";"Middelburg (Z.)";"   48303"
"2019";"Middelburg (Z.)";"   48544"
"2020";"Middelburg (Z.)";"   48822"
"2021";"Middelburg (Z.)";"   48964"
"2022";"Middelburg (Z.)";"   49199"
"2023";"Middelburg (Z.)";"   49956"
"2011";"Middelharnis";"   18050"
"2012";"Middelharnis";"   18049"
"2013";"Middelharnis";""
"2014";"Middelharnis";""
"2015";"Middelharnis";""
"2016";"Middelharnis";""
"2017";"Middelharnis";""
"2018";"Middelharnis";""
"2019";"Middelharnis";""
"2020";"Middelharnis";""
"2021";"Middelharnis";""
"2022";"Middelharnis";""
"2023";"Middelharnis";""
"2011";"Midden-Delfland";"   18154"
"2012";"Midden-Delfland";"   18225"
"2013";"Midden-Delfland";"   18251"
"2014";"Midden-Delfland";"   18456"
"2015";"Midden-Delfland";"   18709"
"2016";"Midden-Delfland";"   18873"
"2017";"Midden-Delfland";"   19034"
"2018";"Midden-Delfland";"   19338"
"2019";"Midden-Delfland";"   19391"
"2020";"Midden-Delfland";"   19341"
"2021";"Midden-Delfland";"   19414"
"2022";"Midden-Delfland";"   19484"
"2023";"Midden-Delfland";"   19472"
"2011";"Midden-Drenthe";"   33581"
"2012";"Midden-Drenthe";"   33558"
"2013";"Midden-Drenthe";"   33422"
"2014";"Midden-Drenthe";"   33366"
"2015";"Midden-Drenthe";"   33284"
"2016";"Midden-Drenthe";"   33450"
"2017";"Midden-Drenthe";"   33399"
"2018";"Midden-Drenthe";"   33172"
"2019";"Midden-Drenthe";"   33178"
"2020";"Midden-Drenthe";"   33185"
"2021";"Midden-Drenthe";"   33381"
"2022";"Midden-Drenthe";"   33689"
"2023";"Midden-Drenthe";"   33987"
"2011";"Midden-Groningen";""
"2012";"Midden-Groningen";""
"2013";"Midden-Groningen";""
"2014";"Midden-Groningen";""
"2015";"Midden-Groningen";""
"2016";"Midden-Groningen";""
"2017";"Midden-Groningen";""
"2018";"Midden-Groningen";"   60953"
"2019";"Midden-Groningen";"   60899"
"2020";"Midden-Groningen";"   60797"
"2021";"Midden-Groningen";"   60726"
"2022";"Midden-Groningen";"   60898"
"2023";"Midden-Groningen";"   61554"
"2011";"Mierlo";""
"2012";"Mierlo";""
"2013";"Mierlo";""
"2014";"Mierlo";""
"2015";"Mierlo";""
"2016";"Mierlo";""
"2017";"Mierlo";""
"2018";"Mierlo";""
"2019";"Mierlo";""
"2020";"Mierlo";""
"2021";"Mierlo";""
"2022";"Mierlo";""
"2023";"Mierlo";""
"2011";"Mill en Sint Hubert";"   11000"
"2012";"Mill en Sint Hubert";"   10926"
"2013";"Mill en Sint Hubert";"   10906"
"2014";"Mill en Sint Hubert";"   10850"
"2015";"Mill en Sint Hubert";"   10831"
"2016";"Mill en Sint Hubert";"   10801"
"2017";"Mill en Sint Hubert";"   10807"
"2018";"Mill en Sint Hubert";"   10831"
"2019";"Mill en Sint Hubert";"   10891"
"2020";"Mill en Sint Hubert";"   10939"
"2021";"Mill en Sint Hubert";"   11004"
"2022";"Mill en Sint Hubert";""
"2023";"Mill en Sint Hubert";""
"2011";"Millingen aan de Rijn";"    5921"
"2012";"Millingen aan de Rijn";"    5903"
"2013";"Millingen aan de Rijn";"    5924"
"2014";"Millingen aan de Rijn";"    5876"
"2015";"Millingen aan de Rijn";""
"2016";"Millingen aan de Rijn";""
"2017";"Millingen aan de Rijn";""
"2018";"Millingen aan de Rijn";""
"2019";"Millingen aan de Rijn";""
"2020";"Millingen aan de Rijn";""
"2021";"Millingen aan de Rijn";""
"2022";"Millingen aan de Rijn";""
"2023";"Millingen aan de Rijn";""
"2011";"Moerdijk";"   36547"
"2012";"Moerdijk";"   36522"
"2013";"Moerdijk";"   36625"
"2014";"Moerdijk";"   36729"
"2015";"Moerdijk";"   36816"
"2016";"Moerdijk";"   36762"
"2017";"Moerdijk";"   36944"
"2018";"Moerdijk";"   36967"
"2019";"Moerdijk";"   36961"
"2020";"Moerdijk";"   37129"
"2021";"Moerdijk";"   37185"
"2022";"Moerdijk";"   37313"
"2023";"Moerdijk";"   37711"
"2011";"Molenlanden";""
"2012";"Molenlanden";""
"2013";"Molenlanden";""
"2014";"Molenlanden";""
"2015";"Molenlanden";""
"2016";"Molenlanden";""
"2017";"Molenlanden";""
"2018";"Molenlanden";""
"2019";"Molenlanden";"   43858"
"2020";"Molenlanden";"   43909"
"2021";"Molenlanden";"   44130"
"2022";"Molenlanden";"   44644"
"2023";"Molenlanden";"   45158"
"2011";"Molenwaard";""
"2012";"Molenwaard";""
"2013";"Molenwaard";"   29190"
"2014";"Molenwaard";"   29032"
"2015";"Molenwaard";"   28993"
"2016";"Molenwaard";"   29067"
"2017";"Molenwaard";"   29212"
"2018";"Molenwaard";"   29295"
"2019";"Molenwaard";""
"2020";"Molenwaard";""
"2021";"Molenwaard";""
"2022";"Molenwaard";""
"2023";"Molenwaard";""
"2011";"Monster";""
"2012";"Monster";""
"2013";"Monster";""
"2014";"Monster";""
"2015";"Monster";""
"2016";"Monster";""
"2017";"Monster";""
"2018";"Monster";""
"2019";"Monster";""
"2020";"Monster";""
"2021";"Monster";""
"2022";"Monster";""
"2023";"Monster";""
"2011";"Montferland";"   34976"
"2012";"Montferland";"   35043"
"2013";"Montferland";"   34834"
"2014";"Montferland";"   34987"
"2015";"Montferland";"   35150"
"2016";"Montferland";"   35173"
"2017";"Montferland";"   35316"
"2018";"Montferland";"   35627"
"2019";"Montferland";"   36026"
"2020";"Montferland";"   36011"
"2021";"Montferland";"   36031"
"2022";"Montferland";"   36359"
"2023";"Montferland";"   36882"
"2011";"Montfoort";"   13500"
"2012";"Montfoort";"   13601"
"2013";"Montfoort";"   13621"
"2014";"Montfoort";"   13639"
"2015";"Montfoort";"   13672"
"2016";"Montfoort";"   13783"
"2017";"Montfoort";"   13866"
"2018";"Montfoort";"   13879"
"2019";"Montfoort";"   13996"
"2020";"Montfoort";"   13917"
"2021";"Montfoort";"   13896"
"2022";"Montfoort";"   13818"
"2023";"Montfoort";"   13929"
"2011";"Mook en Middelaar";"    7947"
"2012";"Mook en Middelaar";"    7874"
"2013";"Mook en Middelaar";"    7827"
"2014";"Mook en Middelaar";"    7796"
"2015";"Mook en Middelaar";"    7762"
"2016";"Mook en Middelaar";"    7755"
"2017";"Mook en Middelaar";"    7775"
"2018";"Mook en Middelaar";"    7768"
"2019";"Mook en Middelaar";"    7806"
"2020";"Mook en Middelaar";"    7847"
"2021";"Mook en Middelaar";"    7909"
"2022";"Mook en Middelaar";"    7989"
"2023";"Mook en Middelaar";"    8043"
"2011";"Moordrecht";""
"2012";"Moordrecht";""
"2013";"Moordrecht";""
"2014";"Moordrecht";""
"2015";"Moordrecht";""
"2016";"Moordrecht";""
"2017";"Moordrecht";""
"2018";"Moordrecht";""
"2019";"Moordrecht";""
"2020";"Moordrecht";""
"2021";"Moordrecht";""
"2022";"Moordrecht";""
"2023";"Moordrecht";""
"2011";"Muiden";"    6499"
"2012";"Muiden";"    6466"
"2013";"Muiden";"    6393"
"2014";"Muiden";"    6287"
"2015";"Muiden";"    6249"
"2016";"Muiden";""
"2017";"Muiden";""
"2018";"Muiden";""
"2019";"Muiden";""
"2020";"Muiden";""
"2021";"Muiden";""
"2022";"Muiden";""
"2023";"Muiden";""
"2011";"Naaldwijk";""
"2012";"Naaldwijk";""
"2013";"Naaldwijk";""
"2014";"Naaldwijk";""
"2015";"Naaldwijk";""
"2016";"Naaldwijk";""
"2017";"Naaldwijk";""
"2018";"Naaldwijk";""
"2019";"Naaldwijk";""
"2020";"Naaldwijk";""
"2021";"Naaldwijk";""
"2022";"Naaldwijk";""
"2023";"Naaldwijk";""
"2011";"Naarden";"   17185"
"2012";"Naarden";"   17163"
"2013";"Naarden";"   17263"
"2014";"Naarden";"   17205"
"2015";"Naarden";"   17209"
"2016";"Naarden";""
"2017";"Naarden";""
"2018";"Naarden";""
"2019";"Naarden";""
"2020";"Naarden";""
"2021";"Naarden";""
"2022";"Naarden";""
"2023";"Naarden";""
"2011";"Neder-Betuwe";"   22620"
"2012";"Neder-Betuwe";"   22614"
"2013";"Neder-Betuwe";"   22593"
"2014";"Neder-Betuwe";"   22555"
"2015";"Neder-Betuwe";"   22728"
"2016";"Neder-Betuwe";"   23049"
"2017";"Neder-Betuwe";"   23303"
"2018";"Neder-Betuwe";"   23615"
"2019";"Neder-Betuwe";"   24034"
"2020";"Neder-Betuwe";"   24339"
"2021";"Neder-Betuwe";"   24648"
"2022";"Neder-Betuwe";"   25032"
"2023";"Neder-Betuwe";"   25448"
"2011";"Nederlek";"   13994"
"2012";"Nederlek";"   13992"
"2013";"Nederlek";"   14131"
"2014";"Nederlek";"   14075"
"2015";"Nederlek";""
"2016";"Nederlek";""
"2017";"Nederlek";""
"2018";"Nederlek";""
"2019";"Nederlek";""
"2020";"Nederlek";""
"2021";"Nederlek";""
"2022";"Nederlek";""
"2023";"Nederlek";""
"2011";"Nederweert";"   16678"
"2012";"Nederweert";"   16771"
"2013";"Nederweert";"   16785"
"2014";"Nederweert";"   16751"
"2015";"Nederweert";"   16776"
"2016";"Nederweert";"   16793"
"2017";"Nederweert";"   16864"
"2018";"Nederweert";"   17038"
"2019";"Nederweert";"   17001"
"2020";"Nederweert";"   17019"
"2021";"Nederweert";"   17171"
"2022";"Nederweert";"   17323"
"2023";"Nederweert";"   17499"
"2011";"Neede";""
"2012";"Neede";""
"2013";"Neede";""
"2014";"Neede";""
"2015";"Neede";""
"2016";"Neede";""
"2017";"Neede";""
"2018";"Neede";""
"2019";"Neede";""
"2020";"Neede";""
"2021";"Neede";""
"2022";"Neede";""
"2023";"Neede";""
"2011";"Neerijnen";"   11843"
"2012";"Neerijnen";"   11930"
"2013";"Neerijnen";"   12022"
"2014";"Neerijnen";"   12020"
"2015";"Neerijnen";"   12038"
"2016";"Neerijnen";"   12122"
"2017";"Neerijnen";"   12344"
"2018";"Neerijnen";"   12397"
"2019";"Neerijnen";""
"2020";"Neerijnen";""
"2021";"Neerijnen";""
"2022";"Neerijnen";""
"2023";"Neerijnen";""
"2011";"Niedorp";"   12222"
"2012";"Niedorp";""
"2013";"Niedorp";""
"2014";"Niedorp";""
"2015";"Niedorp";""
"2016";"Niedorp";""
"2017";"Niedorp";""
"2018";"Niedorp";""
"2019";"Niedorp";""
"2020";"Niedorp";""
"2021";"Niedorp";""
"2022";"Niedorp";""
"2023";"Niedorp";""
"2011";"Nieuwegein";"   60947"
"2012";"Nieuwegein";"   60720"
"2013";"Nieuwegein";"   60895"
"2014";"Nieuwegein";"   61038"
"2015";"Nieuwegein";"   61264"
"2016";"Nieuwegein";"   61749"
"2017";"Nieuwegein";"   61868"
"2018";"Nieuwegein";"   62426"
"2019";"Nieuwegein";"   63036"
"2020";"Nieuwegein";"   63462"
"2021";"Nieuwegein";"   63866"
"2022";"Nieuwegein";"   64554"
"2023";"Nieuwegein";"   65426"
"2011";"Nieuwerkerk aan den IJssel";""
"2012";"Nieuwerkerk aan den IJssel";""
"2013";"Nieuwerkerk aan den IJssel";""
"2014";"Nieuwerkerk aan den IJssel";""
"2015";"Nieuwerkerk aan den IJssel";""
"2016";"Nieuwerkerk aan den IJssel";""
"2017";"Nieuwerkerk aan den IJssel";""
"2018";"Nieuwerkerk aan den IJssel";""
"2019";"Nieuwerkerk aan den IJssel";""
"2020";"Nieuwerkerk aan den IJssel";""
"2021";"Nieuwerkerk aan den IJssel";""
"2022";"Nieuwerkerk aan den IJssel";""
"2023";"Nieuwerkerk aan den IJssel";""
"2011";"Nieuwkoop";"   26988"
"2012";"Nieuwkoop";"   26974"
"2013";"Nieuwkoop";"   27082"
"2014";"Nieuwkoop";"   27104"
"2015";"Nieuwkoop";"   27114"
"2016";"Nieuwkoop";"   27433"
"2017";"Nieuwkoop";"   27914"
"2018";"Nieuwkoop";"   28269"
"2019";"Nieuwkoop";"   28628"
"2020";"Nieuwkoop";"   28811"
"2021";"Nieuwkoop";"   29151"
"2022";"Nieuwkoop";"   29304"
"2023";"Nieuwkoop";"   29463"
"2011";"Nieuw-Lekkerland";"    9541"
"2012";"Nieuw-Lekkerland";"    9520"
"2013";"Nieuw-Lekkerland";""
"2014";"Nieuw-Lekkerland";""
"2015";"Nieuw-Lekkerland";""
"2016";"Nieuw-Lekkerland";""
"2017";"Nieuw-Lekkerland";""
"2018";"Nieuw-Lekkerland";""
"2019";"Nieuw-Lekkerland";""
"2020";"Nieuw-Lekkerland";""
"2021";"Nieuw-Lekkerland";""
"2022";"Nieuw-Lekkerland";""
"2023";"Nieuw-Lekkerland";""
"2011";"Nijefurd";""
"2012";"Nijefurd";""
"2013";"Nijefurd";""
"2014";"Nijefurd";""
"2015";"Nijefurd";""
"2016";"Nijefurd";""
"2017";"Nijefurd";""
"2018";"Nijefurd";""
"2019";"Nijefurd";""
"2020";"Nijefurd";""
"2021";"Nijefurd";""
"2022";"Nijefurd";""
"2023";"Nijefurd";""
"2011";"Nijkerk";"   39788"
"2012";"Nijkerk";"   40126"
"2013";"Nijkerk";"   40355"
"2014";"Nijkerk";"   40638"
"2015";"Nijkerk";"   40870"
"2016";"Nijkerk";"   41199"
"2017";"Nijkerk";"   41775"
"2018";"Nijkerk";"   42307"
"2019";"Nijkerk";"   42943"
"2020";"Nijkerk";"   43171"
"2021";"Nijkerk";"   43600"
"2022";"Nijkerk";"   44311"
"2023";"Nijkerk";"   44975"
"2011";"Nijmegen";"  164223"
"2012";"Nijmegen";"  165182"
"2013";"Nijmegen";"  166382"
"2014";"Nijmegen";"  168292"
"2015";"Nijmegen";"  170681"
"2016";"Nijmegen";"  172064"
"2017";"Nijmegen";"  173556"
"2018";"Nijmegen";"  175948"
"2019";"Nijmegen";"  176731"
"2020";"Nijmegen";"  177659"
"2021";"Nijmegen";"  177359"
"2022";"Nijmegen";"  179100"
"2023";"Nijmegen";"  182480"
"2011";"Nissewaard";""
"2012";"Nissewaard";""
"2013";"Nissewaard";""
"2014";"Nissewaard";""
"2015";"Nissewaard";"   85121"
"2016";"Nissewaard";"   85293"
"2017";"Nissewaard";"   85401"
"2018";"Nissewaard";"   84593"
"2019";"Nissewaard";"   84797"
"2020";"Nissewaard";"   85219"
"2021";"Nissewaard";"   85440"
"2022";"Nissewaard";"   86332"
"2023";"Nissewaard";"   86833"
"2011";"Noardeast-Fryslân";""
"2012";"Noardeast-Fryslân";""
"2013";"Noardeast-Fryslân";""
"2014";"Noardeast-Fryslân";""
"2015";"Noardeast-Fryslân";""
"2016";"Noardeast-Fryslân";""
"2017";"Noardeast-Fryslân";""
"2018";"Noardeast-Fryslân";""
"2019";"Noardeast-Fryslân";"   45181"
"2020";"Noardeast-Fryslân";"   45228"
"2021";"Noardeast-Fryslân";"   45481"
"2022";"Noardeast-Fryslân";"   45593"
"2023";"Noardeast-Fryslân";"   45812"
"2011";"Noord-Beveland";"    7474"
"2012";"Noord-Beveland";"    7522"
"2013";"Noord-Beveland";"    7509"
"2014";"Noord-Beveland";"    7530"
"2015";"Noord-Beveland";"    7433"
"2016";"Noord-Beveland";"    7421"
"2017";"Noord-Beveland";"    7382"
"2018";"Noord-Beveland";"    7314"
"2019";"Noord-Beveland";"    7308"
"2020";"Noord-Beveland";"    7392"
"2021";"Noord-Beveland";"    7581"
"2022";"Noord-Beveland";"    7668"
"2023";"Noord-Beveland";"    7857"
"2011";"Noordenveld";"   30794"
"2012";"Noordenveld";"   30955"
"2013";"Noordenveld";"   31024"
"2014";"Noordenveld";"   31087"
"2015";"Noordenveld";"   31137"
"2016";"Noordenveld";"   31039"
"2017";"Noordenveld";"   32981"
"2018";"Noordenveld";"   32370"
"2019";"Noordenveld";"   31290"
"2020";"Noordenveld";"   31253"
"2021";"Noordenveld";"   31214"
"2022";"Noordenveld";"   31238"
"2023";"Noordenveld";"   31591"
"2011";"Noorder-Koggenland";""
"2012";"Noorder-Koggenland";""
"2013";"Noorder-Koggenland";""
"2014";"Noorder-Koggenland";""
"2015";"Noorder-Koggenland";""
"2016";"Noorder-Koggenland";""
"2017";"Noorder-Koggenland";""
"2018";"Noorder-Koggenland";""
"2019";"Noorder-Koggenland";""
"2020";"Noorder-Koggenland";""
"2021";"Noorder-Koggenland";""
"2022";"Noorder-Koggenland";""
"2023";"Noorder-Koggenland";""
"2011";"Noordoostpolder";"   46253"
"2012";"Noordoostpolder";"   46342"
"2013";"Noordoostpolder";"   46284"
"2014";"Noordoostpolder";"   46356"
"2015";"Noordoostpolder";"   46479"
"2016";"Noordoostpolder";"   46439"
"2017";"Noordoostpolder";"   46544"
"2018";"Noordoostpolder";"   46625"
"2019";"Noordoostpolder";"   46849"
"2020";"Noordoostpolder";"   47291"
"2021";"Noordoostpolder";"   47583"
"2022";"Noordoostpolder";"   48048"
"2023";"Noordoostpolder";"   49729"
"2011";"Noordwijk";"   25438"
"2012";"Noordwijk";"   25517"
"2013";"Noordwijk";"   25671"
"2014";"Noordwijk";"   25691"
"2015";"Noordwijk";"   25604"
"2016";"Noordwijk";"   25760"
"2017";"Noordwijk";"   25867"
"2018";"Noordwijk";"   26056"
"2019";"Noordwijk";"   42859"
"2020";"Noordwijk";"   43508"
"2021";"Noordwijk";"   44062"
"2022";"Noordwijk";"   44365"
"2023";"Noordwijk";"   45179"
"2011";"Noordwijkerhout";"   15601"
"2012";"Noordwijkerhout";"   15648"
"2013";"Noordwijkerhout";"   15740"
"2014";"Noordwijkerhout";"   15956"
"2015";"Noordwijkerhout";"   16063"
"2016";"Noordwijkerhout";"   16140"
"2017";"Noordwijkerhout";"   16318"
"2018";"Noordwijkerhout";"   16605"
"2019";"Noordwijkerhout";""
"2020";"Noordwijkerhout";""
"2021";"Noordwijkerhout";""
"2022";"Noordwijkerhout";""
"2023";"Noordwijkerhout";""
"2011";"Nuenen, Gerwen en Nederwetten";"   22242"
"2012";"Nuenen, Gerwen en Nederwetten";"   22548"
"2013";"Nuenen, Gerwen en Nederwetten";"   22645"
"2014";"Nuenen, Gerwen en Nederwetten";"   22620"
"2015";"Nuenen, Gerwen en Nederwetten";"   22620"
"2016";"Nuenen, Gerwen en Nederwetten";"   22763"
"2017";"Nuenen, Gerwen en Nederwetten";"   22866"
"2018";"Nuenen, Gerwen en Nederwetten";"   23019"
"2019";"Nuenen, Gerwen en Nederwetten";"   23186"
"2020";"Nuenen, Gerwen en Nederwetten";"   23383"
"2021";"Nuenen, Gerwen en Nederwetten";"   23702"
"2022";"Nuenen, Gerwen en Nederwetten";"   23826"
"2023";"Nuenen, Gerwen en Nederwetten";"   24015"
"2011";"Nunspeet";"   26685"
"2012";"Nunspeet";"   26609"
"2013";"Nunspeet";"   26628"
"2014";"Nunspeet";"   26680"
"2015";"Nunspeet";"   26744"
"2016";"Nunspeet";"   26835"
"2017";"Nunspeet";"   26892"
"2018";"Nunspeet";"   27114"
"2019";"Nunspeet";"   27481"
"2020";"Nunspeet";"   27851"
"2021";"Nunspeet";"   28021"
"2022";"Nunspeet";"   28223"
"2023";"Nunspeet";"   28731"
"2011";"Nuth";"   15595"
"2012";"Nuth";"   15644"
"2013";"Nuth";"   15494"
"2014";"Nuth";"   15583"
"2015";"Nuth";"   15495"
"2016";"Nuth";"   15425"
"2017";"Nuth";"   15305"
"2018";"Nuth";"   15201"
"2019";"Nuth";""
"2020";"Nuth";""
"2021";"Nuth";""
"2022";"Nuth";""
"2023";"Nuth";""
"2011";"Obdam";""
"2012";"Obdam";""
"2013";"Obdam";""
"2014";"Obdam";""
"2015";"Obdam";""
"2016";"Obdam";""
"2017";"Obdam";""
"2018";"Obdam";""
"2019";"Obdam";""
"2020";"Obdam";""
"2021";"Obdam";""
"2022";"Obdam";""
"2023";"Obdam";""
"2011";"Oegstgeest";"   22767"
"2012";"Oegstgeest";"   22788"
"2013";"Oegstgeest";"   23153"
"2014";"Oegstgeest";"   22910"
"2015";"Oegstgeest";"   22997"
"2016";"Oegstgeest";"   23209"
"2017";"Oegstgeest";"   23608"
"2018";"Oegstgeest";"   23887"
"2019";"Oegstgeest";"   24426"
"2020";"Oegstgeest";"   24840"
"2021";"Oegstgeest";"   25064"
"2022";"Oegstgeest";"   25499"
"2023";"Oegstgeest";"   25746"
"2011";"Oirschot";"   17845"
"2012";"Oirschot";"   17861"
"2013";"Oirschot";"   17926"
"2014";"Oirschot";"   17980"
"2015";"Oirschot";"   18079"
"2016";"Oirschot";"   18199"
"2017";"Oirschot";"   18499"
"2018";"Oirschot";"   18558"
"2019";"Oirschot";"   18623"
"2020";"Oirschot";"   18714"
"2021";"Oirschot";"   18842"
"2022";"Oirschot";"   19061"
"2023";"Oirschot";"   19217"
"2011";"Oisterwijk";"   25721"
"2012";"Oisterwijk";"   25775"
"2013";"Oisterwijk";"   25770"
"2014";"Oisterwijk";"   25802"
"2015";"Oisterwijk";"   25732"
"2016";"Oisterwijk";"   25835"
"2017";"Oisterwijk";"   25936"
"2018";"Oisterwijk";"   26132"
"2019";"Oisterwijk";"   26140"
"2020";"Oisterwijk";"   26245"
"2021";"Oisterwijk";"   32373"
"2022";"Oisterwijk";"   32503"
"2023";"Oisterwijk";"   32941"
"2011";"Oldambt";"   39396"
"2012";"Oldambt";"   39095"
"2013";"Oldambt";"   38748"
"2014";"Oldambt";"   38560"
"2015";"Oldambt";"   38420"
"2016";"Oldambt";"   38228"
"2017";"Oldambt";"   38108"
"2018";"Oldambt";"   38075"
"2019";"Oldambt";"   38129"
"2020";"Oldambt";"   38209"
"2021";"Oldambt";"   38277"
"2022";"Oldambt";"   38521"
"2023";"Oldambt";"   39044"
